Rank,Country,Total Earnings,Total Number of Players,Most Popular Game,Earnings from the Game
1.,China,"$332,711,178.23","9,371",Dota 2,"$86,844,959.84"
2.,United States,"$300,867,001.46","29,445",Fortnite,"$52,378,533.18"
3.,Korea,"$157,079,924.92","5,986",League of Legends,"$41,645,617.74"
4.,Russian Federation,"$97,092,081.59","5,875",Dota 2,"$43,417,776.36"
5.,Brazil,"$73,016,255.76","6,031",Rainbow Six Siege,"$13,311,887.49"
6.,Denmark,"$64,406,550.21","2,210",Counter-Strike: Global Offensive,"$23,097,482.88"
7.,France,"$62,449,283.70","6,676",Counter-Strike: Global Offensive,"$9,837,046.88"
8.,Sweden,"$58,818,505.92","3,364",Dota 2,"$19,664,156.23"
9.,Germany,"$53,109,922.26","6,956",Dota 2,"$11,763,651.15"
10.,Canada,"$50,717,908.28","4,392",Fortnite,"$9,183,204.96"
11.,United Kingdom,"$50,327,589.39","5,736",Fortnite,"$8,785,357.13"
12.,Japan,"$42,968,384.85","3,995",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$5,800,971.79"
13.,Ukraine,"$40,687,673.63","1,723",Dota 2,"$23,871,272.69"
14.,Australia,"$34,700,104.09","4,634",Dota 2,"$8,037,226.70"
15.,Finland,"$34,120,875.50","2,216",Dota 2,"$17,476,715.63"
16.,Poland,"$31,991,480.15","3,149",Counter-Strike: Global Offensive,"$8,387,347.80"
17.,Thailand,"$31,136,241.52","2,309",Arena of Valor,"$7,319,551.96"
18.,Philippines,"$27,313,840.37","1,917",Dota 2,"$12,113,411.28"
19.,Malaysia,"$23,408,451.29","1,723",Dota 2,"$14,534,944.37"
20.,"Taiwan, Republic of China","$23,006,380.57","1,725",League of Legends,"$5,975,442.71"
21.,Indonesia,"$21,782,695.11","2,652",Free Fire,"$5,106,526.21"
22.,Viet Nam,"$19,900,253.41","2,823",Arena of Valor,"$5,040,274.48"
23.,Netherlands,"$19,281,305.66","2,255",Fortnite,"$3,549,767.69"
24.,Spain,"$16,714,636.45","2,918",Rocket League,"$1,632,694.22"
25.,Saudi Arabia,"$15,733,934.33","1,760",Rocket League,"$4,563,605.45"
