Rank,Tournament Name,Prize Pool,Game,Teams,Number of Players
1.,The International 2021,"$40,018,400.00",Dota 2,18,90
2.,The International 2019,"$34,330,069.00",Dota 2,18,90
3.,The International 2018,"$25,532,177.00",Dota 2,18,90
4.,The International 2017,"$24,687,919.00",Dota 2,18,90
5.,The International 2016,"$20,770,460.00",Dota 2,16,80
6.,The International 2022,"$18,930,256.00",Dota 2,20,100
7.,The International 2015,"$18,429,613.05",Dota 2,16,80
8.,Fortnite World Cup Finals 2019 - Solo,"$15,287,500.00",Fortnite,,100
9.,Riyadh Masters 2023,"$15,120,000.00",Dota 2,32,102
10.,Fortnite World Cup Finals 2019 - Duo,"$15,100,000.00",Fortnite,50,100
11.,The International 2014,"$10,931,103.00",Dota 2,14,70
12.,Honor of Kings International Championship 2022,"$10,000,000.00",Arena of Valor,16,88
13.,Honor of Kings International Championship 2023,"$9,747,684.74",Arena of Valor,16,85
14.,King Pro League Grand Finals 2024,"$9,678,529.00",Arena of Valor,12,77
15.,Honor of Kings World Champion Cup 2021,"$7,742,070.00",Arena of Valor,12,66
16.,PGI.S 2021 Main Event,"$7,068,071.00",PLAYERUNKNOWN’S BATTLEGROUNDS,32,138
17.,LoL 2018 World Championship,"$6,450,000.00",League of Legends,24,131
18.,LoL 2016 World Championship,"$5,070,000.00",League of Legends,16,86
19.,Riyadh Masters 2024,"$5,050,000.00",Dota 2,21,100
20.,LoL 2017 World Championship,"$4,946,969.00",League of Legends,24,128
21.,Honor of Kings World Champion Cup 2020,"$4,606,400.00",Arena of Valor,12,60
22.,Call of Duty League Championship 2020,"$4,600,000.00",Call of Duty: Modern Warfare,10,50
23.,Honor of Kings World Champion Cup 2019,"$4,547,648.00",Arena of Valor,12,60
24.,PUBG Global Championship 2021,"$4,412,831.00",PLAYERUNKNOWN’S BATTLEGROUNDS,35,134
25.,Riyadh Masters 2022,"$4,200,000.00",Dota 2,15,50
26.,Peacekeeper Elite League 2022 Spring,"$4,141,565.50",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,24,118
27.,PUBG Global Championship 2019,"$4,080,000.00",PLAYERUNKNOWN’S BATTLEGROUNDS,32,128
28.,Peacekeeper Elite League 2022 Summer,"$4,029,660.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,24,123
29.,Fortnite Fall Skirmish Series - Clubs Standings,"$4,000,000.00",Fortnite,8,498
30.,FNCS: Global Championship 2023,"$3,992,000.00",Fortnite,73,145
31.,PUBG Mobile Global Championship 2022,"$3,893,500.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,50,232
32.,Overwatch League - Season 2 Playoffs,"$3,500,000.00",Overwatch,8,77
33.,PMGC 2021: Grand Finals,"$3,490,000.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,17,74
34.,The International 2023,"$3,380,904.00",Dota 2,20,100
35.,PUBG Global Championship 2022,"$3,353,783.00",PLAYERUNKNOWN’S BATTLEGROUNDS,33,134
36.,Overwatch League 2021 - Playoffs,"$3,300,000.00",Overwatch,9,71
37.,Fortnite World Cup Finals 2019 - Creative,"$3,250,000.00",Fortnite,8,32
38.,Overwatch League 2020 - Playoffs - Grand Finals,"$3,150,000.00",Overwatch,5,30
39.,DAC 2015,"$3,057,521.00",Dota 2,20,100
40.,Honor of Kings Invitational Midseason 2024,"$3,050,000.00",Arena of Valor,13,66
41.,MLBB Mid Season Cup 2024,"$3,050,000.00",Mobile Legends: Bang Bang,24,119
42.,PUBG Mobile World Cup 2024,"$3,050,000.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,31,121
43.,Esports World Cup 2025 [DOTA 2],"$3,000,000.00",Dota 2,16,80
44.,MLBB Mid Season Cup 2025,"$3,000,000.00",Mobile Legends: Bang Bang,23,115
45.,PUBG Mobile Global Championship 2023,"$3,000,000.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,50,246
46.,Six Invitational 2020,"$3,000,000.00",Rainbow Six Siege,16,80
47.,Six Invitational 2021,"$3,000,000.00",Rainbow Six Siege,20,100
48.,Six Invitational 2022,"$3,000,000.00",Rainbow Six Siege,20,100
49.,Six Invitational 2023,"$3,000,000.00",Rainbow Six Siege,20,100
50.,Six Invitational 2024,"$3,000,000.00",Rainbow Six Siege,20,102
51.,The Boston Major 2016,"$3,000,000.00",Dota 2,16,80
52.,The Frankfurt Major 2015,"$3,000,000.00",Dota 2,16,80
53.,The Kiev Major 2017,"$3,000,000.00",Dota 2,16,80
54.,The Manila Major 2016,"$3,000,000.00",Dota 2,16,80
55.,The Shanghai Major 2016,"$3,000,000.00",Dota 2,16,80
56.,King Pro League Fall 2021,"$2,954,287.84",Arena of Valor,18,128
57.,King Pro League Spring 2021,"$2,911,932.00",Arena of Valor,17,124
58.,The International 2025,"$2,881,466.00",Dota 2,16,80
59.,The International 2013,"$2,874,381.00",Dota 2,8,40
60.,King Pro League Spring 2022,"$2,822,068.00",Arena of Valor,18,133
61.,King Pro League Summer 2022,"$2,729,759.98",Arena of Valor,18,129
62.,King Pro League Spring 2023,"$2,703,438.13",Arena of Valor,18,125
63.,Smite World Championship 2015,"$2,612,259.00",SMITE,8,40
64.,King Pro League Summer 2023,"$2,595,526.75",Arena of Valor,18,135
65.,this prize pool is not correct,"$2,581,982.00",Dota 2,16,80
66.,Peacekeeper Elite League 2020 Season 3,"$2,561,238.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,26,105
67.,Call of Duty League Championship 2022,"$2,550,000.00",Call of Duty: Vanguard,8,32
68.,Overwatch League 2022 - Playoffs,"$2,550,000.00",Overwatch 2,12,73
69.,Peacekeeper Elite League 2024 Spring,"$2,549,937.69",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,23,113
70.,Call of Duty League Championship 2021,"$2,500,000.00",Call of Duty: Black Ops Cold War,8,32
71.,Halo World Championship 2016,"$2,500,000.00",Halo 5: Guardians,16,64
72.,Peacekeeper Elite League 2023 Spring,"$2,477,983.04",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,22,121
73.,Call of Duty League Championship 2023,"$2,380,000.00",Call of Duty: Modern Warfare II,8,32
74.,Peacekeeper Elite League 2023 Summer,"$2,351,432.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,22,121
75.,PUBG Global Championship 2023,"$2,348,250.00",PLAYERUNKNOWN’S BATTLEGROUNDS,33,129
76.,Peacekeeper Elite League 2021 Season 2,"$2,344,500.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,23,106
77.,LoL 2020 World Championship,"$2,340,000.00",League of Legends,25,113
78.,Peacekeeper Elite League 2025 Spring,"$2,303,067.40",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,25,122
79.,Shadowverse World Grand Prix 2021,"$2,293,296.20",Shadowverse,,9
80.,FNCS: Grand Royale 2021 - Europe,"$2,250,300.00",Fortnite,33,99
81.,VALORANT Champions 2023,"$2,250,000.00",VALORANT,16,80
82.,VALORANT Champions 2024,"$2,250,000.00",VALORANT,16,80
83.,Peacekeeper Elite League 2021 Season 4,"$2,234,970.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,20,90
84.,LoL 2019 World Championship,"$2,225,000.00",League of Legends,24,127
85.,LoL 2022 World Championship,"$2,225,000.00",League of Legends,24,124
86.,LoL 2023 World Championship,"$2,225,000.00",League of Legends,22,110
87.,LoL 2024 World Championship,"$2,225,000.00",League of Legends,20,101
88.,Peacekeeper Elite League 2021 Season 3,"$2,212,027.50",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,21,81
89.,Gamers8 PUBG Global Series 2023 Phase 2,"$2,190,000.00",PLAYERUNKNOWN’S BATTLEGROUNDS,37,97
90.,LoL 2021 World Championship,"$2,180,500.00",League of Legends,22,113
91.,Peacekeeper Elite League 2021 Season 1,"$2,176,036.50",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,24,93
92.,LoL 2014 World Championship,"$2,130,000.00",League of Legends,16,82
93.,LoL 2015 World Championship,"$2,130,000.00",League of Legends,16,85
94.,King Pro League Summer 2024,"$2,114,609.15",Arena of Valor,18,114
95.,Gamers8 2023 (RL),"$2,110,000.00",Rocket League,28,72
96.,Gamers8 2022 - Rocket League,"$2,100,000.00",Rocket League,25,72
97.,RLCS 2022-23 - World Championship,"$2,100,000.00",Rocket League,24,72
98.,RLCS 2021-22 - World Championship,"$2,085,000.00",Rocket League,24,73
99.,King Pro League Spring 2024,"$2,076,496.53",Arena of Valor,18,119
100.,King Pro League Spring 2025,"$2,072,549.44",Arena of Valor,18,124
