Rank,Game,Total Prize Money,Total Players Competed,Total Number of Tournaments
1,Dota 2,"$381,278,250.96",5069 ,1986
2,Fortnite,"$203,089,308.90",10984 ,2586
3,Counter-Strike: Global Offensive,"$162,769,575.27",16582 ,7108
4,League of Legends,"$121,953,068.43",9680 ,3034
5,Arena of Valor,"$111,511,257.36",2291 ,183
6,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$89,785,122.22",4312,344
7,PLAYERUNKNOWN’S BATTLEGROUNDS,"$67,037,707.91",4017,642
8,Rocket League,"$54,078,530.56",9769,5277
9,Rainbow Six Siege,"$49,885,252.94",3084,573
10,StarCraft II,"$43,451,866.17",2280,7535
11,Counter-Strike 2,"$42,364,147.44",4682,842
12,Overwatch,"$35,274,412.38",4047,848
13,VALORANT,"$34,612,205.35",7532,1332
14,Apex Legends,"$31,803,237.01",2386,740
15,Hearthstone,"$31,383,483.48",3193,1179
16,CrossFire,"$31,052,357.96",1159,417
17,Mobile Legends: Bang Bang,"$21,519,451.87",2344,158
18,Free Fire,"$20,135,992.14",1753,97
19,Heroes of the Storm,"$18,466,719.38",1335,507
20,Call of Duty: Warzone,"$13,854,809.95",1287,407
21,Overwatch 2,"$13,662,770.59",1411,151
22,Counter-Strike,"$13,627,581.40",4349,1029
23,SMITE,"$12,580,110.75",556,110
24,League of Legends: Wild Rift,"$11,193,427.98",1473,117
25,Magic: The Gathering Arena,"$9,794,000.00",355,63
26,Clash Royale,"$9,624,825.93",581,144
27,Teamfight Tactics,"$9,622,418.25",892,113
28,Chess.com,"$9,384,703.36",1209,847
29,Call of Duty: Mobile,"$9,364,832.75",477,44
30,Brawl Stars,"$9,171,511.80",704,210
31,World of WarCraft,"$9,150,537.61",503,225
32,Street Fighter 6,"$8,967,088.32",462,141
33,StarCraft: Brood War,"$7,556,789.96",663,542
34,Call of Duty: Modern Warfare,"$7,500,784.50",396,81
35,EA Sports FC 24,"$7,356,431.34",348,76
36,Halo Infinite,"$7,253,555.03",280,59
37,Halo 5: Guardians,"$7,161,730.97",248,109
38,Clash of Clans,"$6,950,742.37",571,85
39,CrossFire Mobile,"$6,780,944.77",280,40
40,Call of Duty: Black Ops 4,"$6,734,938.95",389,82
41,World of Tanks,"$6,649,075.11",948,99
42,Identity V,"$6,621,388.92",425,31
43,Call of Duty: Black Ops Cold War,"$6,549,000.00",299,92
44,StarCraft: Remastered,"$6,496,544.06",454,904
45,Call of Duty: Modern Warfare III,"$6,452,001.00",176,22
46,Call of Duty: Vanguard,"$6,321,000.00",261,91
47,WarCraft III,"$6,308,079.74",771,1552
48,FIFA 23,"$6,197,022.16",527,99
49,Call of Duty: Modern Warfare II,"$6,121,126.90",227,38
50,Naraka: Bladepoint,"$5,558,830.52",205,16
51,Shadowverse,"$5,508,473.29",248,44
52,FIFA 21,"$4,855,659.11",434,63
53,Age of Empires II,"$4,842,370.49",2578,2307
54,FIFA 22,"$4,629,302.53",433,76
55,Call of Duty: WWII,"$4,578,021.00",296,77
56,chess24,"$4,318,475.43",90,29
57,Super Smash Bros. Melee,"$4,299,511.43",2018,2757
58,Brawlhalla,"$4,271,992.43",888,711
59,Call of Duty: Infinite Warfare,"$4,166,705.06",343,84
60,FIFA Online 4,"$4,087,518.33",427,67
61,Minecraft,"$4,063,371.15",710,204
62,Call of Duty: Black Ops III,"$3,939,783.29",424,78
63,Tekken 7,"$3,911,820.60",634,426
64,Pokemon Unite,"$3,881,870.54",1085,92
65,Call of Duty: Black Ops 6,"$3,852,200.00",83,13
66,iRacing.com,"$3,757,336.03",1302,189
67,Quake Champions,"$3,634,313.25",348,297
68,FIFA 19,"$3,287,686.79",331,53
69,Counter-Strike: Source,"$3,160,540.00",1570,358
70,Gears of War 4,"$3,142,785.00",155,152
71,Heroes of Newerth,"$3,073,445.72",820,395
72,Super Smash Bros. Ultimate,"$3,044,975.43",2430,1773
73,NBA 2K23,"$2,925,000.00",105,9
74,NBA 2K22,"$2,650,000.00",92,7
75,Rennsport,"$2,631,805.52",73,10
76,Call of Duty: Advanced Warfare,"$2,611,808.93",783,405
77,FIFA 20,"$2,598,643.56",363,67
78,Paladins,"$2,490,507.60",571,79
79,Street Fighter V,"$2,328,386.94",278,130
80,Gears 5,"$2,320,920.00",163,112
81,Halo 3,"$2,318,079.40",214,43
82,Street Fighter V: Arcade Edition,"$2,267,283.95",244,105
83,FIFA 18,"$2,233,697.69",235,48
84,rFactor 2,"$2,219,963.12",557,103
85,WarCraft III: Reforged,"$2,214,422.95",205,599
86,H1Z1,"$2,067,122.00",119,13
87,FIFA Online 3,"$1,937,542.85",124,25
88,CrossFire HD,"$1,934,161.10",139,7
89,Point Blank,"$1,908,854.12",583,112
90,Tekken 8,"$1,827,102.86",219,42
91,Magic: The Gathering Online,"$1,818,000.00",173,16
92,Hearthstone Battlegrounds,"$1,769,904.03",309,61
93,Madden NFL 23,"$1,700,000.00",37,4
94,Madden NFL 24,"$1,700,000.00",86,6
95,Madden NFL 22,"$1,650,000.00",37,4
96,Halo 2,"$1,626,762.47",126,74
97,Call of Duty: Ghosts,"$1,594,185.25",199,76
98,Age of Empires IV,"$1,553,544.12",847,635
99,Gwent,"$1,544,697.17",350,123
100,Super Smash Bros. for Wii U,"$1,517,451.47",1284,1036
