Rank,Team Name,Total Earnings,Total Tournaments Played
1.,Team Liquid,"$56,790,405.44",2987
2.,OG,"$38,773,813.62",208
3.,Team Spirit,"$35,719,420.44",311
4.,Evil Geniuses,"$28,567,423.99",1019
5.,Natus Vincere,"$24,522,553.68",874
6.,Fnatic,"$22,315,557.52",1194
7.,FaZe Clan,"$21,451,431.53",808
8.,Virtus.pro,"$21,209,287.61",739
9.,Team Secret,"$21,057,901.18",452
10.,Paris Saint-Germain Esports,"$19,810,565.30",181
11.,G2 Esports,"$18,994,347.17",784
12.,All Gamers,"$18,525,987.85",197
13.,LGD Gaming,"$17,393,358.90",243
14.,T1,"$15,992,415.21",518
15.,Team Falcons,"$15,762,208.49",417
16.,Vici Gaming,"$15,756,478.98",318
17.,Invictus Gaming,"$15,251,360.43",635
18.,Team Vitality,"$14,741,721.00",536
19.,OpTic Gaming,"$14,592,124.30",428
20.,Cloud9,"$14,497,101.28",1104
21.,Newbee,"$14,230,154.91",236
22.,Tundra Esports,"$13,850,954.81",82
23.,eStar Gaming,"$13,645,684.00",144
24.,TSM,"$12,574,638.27",1036
25.,Gen.G Esports,"$12,170,132.94",269
26.,Astralis,"$11,170,862.86",228
27.,Wolves Esports,"$10,501,194.28",104
28.,Nova eSports,"$9,763,637.08",141
29.,Wings Gaming,"$9,746,079.72",28
30.,MOUZ,"$9,742,378.66",1365
31.,Weibo Gaming,"$9,443,334.44",121
32.,Ninjas in Pyjamas,"$9,380,443.61",562
33.,EDward Gaming,"$9,023,716.02",206
34.,Alliance,"$8,988,296.82",448
35.,Royal Never Give Up,"$8,751,625.85",156
36.,Gaimin Gladiators,"$8,539,777.04",187
37.,SK Gaming,"$8,484,990.22",813
38.,NRG,"$8,250,418.72",636
39.,Team Envy,"$7,503,894.43",439
40.,World Elite,"$7,034,764.97",346
41.,Atlanta FaZe,"$6,808,000.00",55
42.,Team BDS,"$6,559,517.33",193
43.,Complexity Gaming,"$6,361,679.58",859
44.,Spacestation Gaming,"$6,144,143.98",450
45.,Heroic,"$6,109,339.70",205
46.,Luminosity Gaming,"$5,942,957.10",531
47.,ThunderTalk Gaming,"$5,937,566.89",40
48.,Hero JiuJing,"$5,850,905.83",24
49.,Gambit Esports,"$5,847,051.97",277
50.,100 Thieves,"$5,817,472.68",308
51.,Qiao Gu Reapers,"$5,767,621.90",30
52.,MVP,"$5,761,080.77",488
53.,FURIA,"$5,662,227.33",382
54.,Talon Esports,"$5,420,659.74",220
55.,Dignitas,"$5,379,217.97",779
56.,Samsung,"$5,334,245.29",354
57.,Counter Logic Gaming,"$5,330,803.15",520
58.,Lazarus,"$5,323,227.77",304
59.,Sentinels,"$5,286,280.68",184
60.,BetBoom Team,"$5,022,347.11",74
61.,Chaos Esports Club,"$4,972,689.35",92
62.,Dragon Ranger Gaming,"$4,899,502.06",44
63.,Four Angry Men,"$4,779,629.30",90
64.,ENCE,"$4,711,943.08",361
65.,TnC Gaming,"$4,700,745.52",84
66.,FunPlus Phoenix,"$4,462,320.94",95
67.,San Francisco Shock,"$4,375,500.00",16
68.,EHOME,"$4,318,425.59",129
69.,Soniqs,"$4,269,023.11",114
70.,Dplus,"$4,216,590.76",124
71.,Toronto Ultra,"$4,072,020.82",72
72.,EVOS Esports,"$4,021,000.57",158
73.,Team Empire,"$4,010,946.69",467
74.,KT Rolster,"$4,004,576.43",259
75.,eUnited,"$3,976,306.69",261
76.,Splyce,"$3,927,592.51",440
77.,Top Esports,"$3,906,933.27",56
78.,Qing Jiu Club,"$3,867,247.61",113
79.,Tianba,"$3,846,679.27",81
80.,Twisted Minds,"$3,816,445.22",300
81.,Rogue Warriors,"$3,776,935.07",64
82.,CDEC Gaming,"$3,751,262.87",56
83.,Team Aster,"$3,610,967.54",63
84.,MIBR,"$3,534,052.85",274
85.,JD Gaming,"$3,497,538.88",55
86.,BIG,"$3,455,780.73",553
87.,New York Subliners,"$3,447,548.09",119
88.,Cooler Esport,"$3,338,204.54",49
89.,BaiSha Gaming,"$3,324,343.98",67
90.,Freecs,"$3,212,308.77",722
91.,KuaiShow Gaming,"$3,151,899.88",24
92.,Karmine Corp,"$3,059,754.99",172
93.,w7m esports,"$3,057,395.58",115
94.,Nigma Galaxy,"$3,054,847.37",186
95.,ZETA DIVISION,"$3,049,907.34",97
96.,Shanghai Dragons,"$2,972,750.00",19
97.,Flash Wolves,"$2,969,791.20",250
98.,REJECT,"$2,931,751.34",76
99.,Rex Regum Qeon,"$2,921,656.90",151
100.,Rogue,"$2,915,096.76",257
