Rank,Game,Total Earnings,Total Number of Players Competed
1.,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$127,158.36",37
2.,Free Fire,"$45,750.00",9
3.,Rainbow Six Siege,"$42,245.21",11
4.,Clash of Clans,"$9,733.33",5
5.,Brawlhalla,"$8,515.00",1
6.,Street Fighter 6,"$8,500.00",3
7.,Brawl Stars,"$7,708.33",2
8.,Dota 2,"$6,335.40",8
9.,VALORANT,"$4,197.97",17
10.,Counter-Strike: Global Offensive,"$1,731.56",13
11.,Rocket League,"$1,200.00",5
12.,Chess.com,$900.00,2
13.,League of Legends,$500.00,5
14.,EV.IO,$479.00,2
15.,Overwatch,$437.50,1
16.,chessarena.com,$210.71,1
17.,Paladins,$100.00,1
18.,Age of Mythology,$5.00,1
19.,osu!,$0.00,1
1.,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$127,158.36",37
2.,Free Fire,"$45,750.00",9
3.,Rainbow Six Siege,"$42,245.21",11
4.,Clash of Clans,"$9,733.33",5
5.,Brawlhalla,"$8,515.00",1
6.,Street Fighter 6,"$8,500.00",3
7.,Brawl Stars,"$7,708.33",2
8.,Dota 2,"$6,335.40",8
9.,VALORANT,"$4,197.97",17
10.,Counter-Strike: Global Offensive,"$1,731.56",13
11.,Rocket League,"$1,200.00",5
12.,Chess.com,$900.00,2
13.,League of Legends,$500.00,5
14.,EV.IO,$479.00,2
15.,Overwatch,$437.50,1
16.,chessarena.com,$210.71,1
17.,Paladins,$100.00,1
18.,Age of Mythology,$5.00,1
19.,osu!,$0.00,1
1.,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$127,158.36",37
2.,Free Fire,"$45,750.00",9
3.,Rainbow Six Siege,"$42,245.21",11
4.,Clash of Clans,"$9,733.33",5
5.,Brawlhalla,"$8,515.00",1
6.,Street Fighter 6,"$8,500.00",3
7.,Brawl Stars,"$7,708.33",2
8.,Dota 2,"$6,335.40",8
9.,VALORANT,"$4,197.97",17
10.,Counter-Strike: Global Offensive,"$1,731.56",13
11.,Rocket League,"$1,200.00",5
12.,Chess.com,$900.00,2
13.,League of Legends,$500.00,5
14.,EV.IO,$479.00,2
15.,Overwatch,$437.50,1
16.,chessarena.com,$210.71,1
17.,Paladins,$100.00,1
18.,Age of Mythology,$5.00,1
19.,osu!,$0.00,1
1.,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$127,158.36",37
2.,Free Fire,"$45,750.00",9
3.,Rainbow Six Siege,"$42,245.21",11
4.,Clash of Clans,"$9,733.33",5
5.,Brawlhalla,"$8,515.00",1
6.,Street Fighter 6,"$8,500.00",3
7.,Brawl Stars,"$7,708.33",2
8.,Dota 2,"$6,335.40",8
9.,VALORANT,"$4,197.97",17
10.,Counter-Strike: Global Offensive,"$1,731.56",13
11.,Rocket League,"$1,200.00",5
12.,Chess.com,$900.00,2
13.,League of Legends,$500.00,5
14.,EV.IO,$479.00,2
15.,Overwatch,$437.50,1
16.,chessarena.com,$210.71,1
17.,Paladins,$100.00,1
18.,Age of Mythology,$5.00,1
19.,osu!,$0.00,1
